0,0,0
0,20,1
0,40,1
0,60,1
0,80,1
0,100,1
0,120,1
0,140,1
0,160,0
15,160,0
15,140,1
15,120,1
15,100,1
15,80,1
15,60,1
15,40,1
15,20,1
15,0,0
30,0,0
30,20,1
30,40,1
30,60,1
30,80,1
30,100,1
30,120,1
30,140,1
30,160,0
45,160,0
45,140,1
45,120,1
45,100,1
45,80,1
45,60,1
45,40,1
45,20,1
45,0,0
60,0,0
60,20,1
60,40,1
60,60,1
60,80,1
60,100,1
60,120,1
60,140,1
60,160,0
75,160,0
75,140,1
75,120,1
75,100,1
75,80,1
75,60,1
75,40,1
75,20,1
75,0,0
90,0,0
90,20,1
90,40,1
90,60,1
90,80,1
90,100,1
90,120,1
90,140,1
90,160,0
105,160,0
105,140,1
105,120,1
105,100,1
105,80,1
105,60,1
105,40,1
105,20,1
105,0,0
