34.25,60,2,17,0
34.25,80,0,9,1
34.25,40,3,28,2
34.25,20,0,48,3
34.25,100,3,6,4
34.25,120,0,47,5
34.25,140,1,46,6
19.24999,100,3,30,7
10.75,80,3,4,8
19.24999,120,3,16,9
19.25,140,2,1,10
10.74999,60,3,8,11
19.24999,40,1,49,12
19.24998,20,3,27,13
40.74998,100,2,26,14
40.74998,80,2,22,15
49.24998,120,2,10,16
40.75,140,0,2,17
40.74997,60,1,1,18
40.74997,40,1,27,19
49.24995,20,0,44,20
109.25,100,2,36,21
100.75,80,1,15,22
109.25,120,2,8,23
109.25,140,0,35,24
100.75,60,3,1,25
100.75,40,1,32,26
100.75,20,0,42,27
70.74998,100,2,37,28
70.74998,80,0,14,29
79.24998,120,3,3,30
70.75,140,3,29,31
70.74997,60,3,26,32
79.24996,40,1,29,33
70.74996,20,0,25,34
4.249997,60,2,30,35
4.249997,80,3,29,36
-4.249998,40,3,39,37
-4.249998,20,2,17,38
4.249997,100,0,1,39
-4.249998,120,0,17,40
4.249997,140,0,13,41
64.25,60,0,30,42
64.25,80,0,33,43
64.25,40,1,25,44
64.25,20,1,22,45
64.25,100,2,24,46
55.75,120,2,32,47
55.75,140,3,34,48
94.25,60,2,33,49
94.25,80,1,27,50
94.25,40,0,26,51
94.25,20,2,22,52
85.75,100,3,42,53
85.75,120,0,20,54
85.75,140,3,45,55
