0,0,0
0,25,1
-15,25,1
-35,25,1
-65,25,1
-65,40,1
-65,60,1
-65,80,1
-65,110,1
-80,110,1
-100,110,1
-120,110,1
-150,110,1
-150,125,1
-150,145,1
-150,165,1
-150,195,1
-165,195,1
-185,195,1
-215,195,1
-215,220,1
-200,220,1
-180,220,1
-160,220,1
-130,220,1
-130,205,1
-130,185,1
-130,165,1
-130,135,1
-115,135,1
-95,135,1
-75,135,1
-45,135,1
-45,120,1
-45,100,1
-45,80,1
-45,50,1
-30,50,1
-10,50,1
10,50,1
40,50,1
40,75,1
25,75,1
5,75,1
-25,75,1
-25,90,1
-25,110,1
-25,130,1
-25,160,1
-40,160,1
-60,160,1
-80,160,1
-110,160,1
-110,175,1
-110,195,1
-110,215,1
-110,245,1
-125,245,1
-145,245,1
-175,245,1
-175,270,1
